 Table Num , Table Name , Label , File , Note,data,estimate method
 Table 1 , Gaps in Parental Characteristics and Birth Outcomes Between April- and March-born Children , tab:reg_vital_stats , task/t14.R ,"        Source: Vital Statistics from April 2000 to March 2011.

        Note: We present differences in the estimated means of family background and birth outcomes between April- and March-born children (e.g. $E(Y|\mathrm{April})-E(Y|\mathrm{March})$). To do so, we regress parental characteristics and birth outcomes on age, age squared, and birth-year dummies using equation (\ref{eqn:OLS}) and estimate the gaps between March- and April-born children using equation (\ref{eqn:OLS-gap}). Occupation of household head (father if present) is reported. We say a firm is small if it hires 1-99 employees and large if it hires 100 employees or more. Standard errors are in parentheses. We adjust the p-values for multiple testing using the method proposed by \cite{benjamini1995controlling}, which controls for a false discovery rate, as there are 15 hypotheses.",Vital Statistics,"\ref{eqn:OLS}, ref{eqn:OLS-gap}"
 Table 2 , Gaps in Family Background Between April- and March-born Students , tab:reg_individual_ses_birthmonth ,task/t25.R ,"    Source: Administrative data from a municipality in Saitama that conducted the skill assessment.

    Note: We present differences in the estimated means of family background and birth outcomes between April- and March-born children (e.g. $E(Y|\mathrm{April})-E(Y|\mathrm{March})$). To do so, we regress the family SES measures on age, age squared, and birth-year dummies using equation (\ref{eqn:OLS}) and estimate the gaps between March- and April-born children using equation (\ref{eqn:OLS-gap}). Standard errors are in parentheses. We adjust the p-values for multiple testing using the method proposed by \cite{benjamini1995controlling}, which controls for a false discovery rate, as there are three hypotheses.",a municipality,"\ref{eqn:OLS}, ref{eqn:OLS-gap}"
 Table 3 , Descriptive Statistics , tab:descriptive_stats , task/des.py ,"    Source: Saitama Skill Assessment 2015-2018.

    Note: The descriptive statistics presented in this table are based on the Saitama Skill Assessment. Noncognitive skills, number of books at home, relationship with peers are available for 2016-2018. Relationship with teachers is available for 2017-2018. Weekly hours of reading, hours of playing outside and sports, and hours of arts, music, and sports are available only for 2015. All other variables are available for 2015-2018. ", Saitama Skill Assessment 2015-2018.,descriptive_stats
 Table 4 , Month-of-Birth Gaps in Test Scores , tab:reg_math , task/t8.R ,"    Source: Saitama Skill Assessment 2015-2018.

    Note: The gaps in test scores between the oldest and youngest students are based on equations (\ref{eqn:OLS}) and (\ref{eqn:OLS-gap}). Each estimate in the cell is obtained from a separate regression. Test scores in the regression analysis are standardized for each grade and year. The control variables include school fixed effects, survey year fixed effects, gender, and number of books at home. Our preferred model is a regression with control variables, and their estimates are reported in columns (2), (5), and (8). Standard errors are in parentheses. All estimates in this table are statistically significant at the 1\% level when p-values are adjusted for multiple testing, using a method that controls for a false discovery rate (see \cite{benjamini1995controlling}). We have 14 (6 + 6 + 2) hypotheses for each econometric specification.", Saitama Skill Assessment 2015-2018.,"\ref{eqn:OLS}, ref{eqn:OLS-gap}"
 Table 5 , Month-of-Birth Gaps in Noncognitive Skills by Grade , tab:reg_noncog , task/t8.R ,"    Source: Saitama Skill Assessment 2015-2018.

    Note: The gaps in noncognitive skills between the oldest and youngest students in a given grade are based on equations (\ref{eqn:OLS}) and (\ref{eqn:OLS-gap}). Each estimate in the cell is obtained from a separate regression. In the regression analysis, noncognitive skill measures are standardized so that the mean is 0 and standard deviation is 1 for each grade and year. The control variables include school fixed effects, survey year fixed effects, gender, and number of books at home. Standard errors are in parentheses. We adjust p-values for multiple testing of 15 hypotheses, using a method that controls for a false discovery rate (see \cite{benjamini1995controlling}).", Saitama Skill Assessment 2015-2018.,"\ref{eqn:OLS}, ref{eqn:OLS-gap}"
Table 6,Month-of-Birth Effects on High School,tab:hs-quality,task/t25.R ,"    Source: Administrative data from a municipality in the province that conducted the skill assessment.

    Note: The gaps in high school quality between the oldest and youngest students in the same grade are based on equations (\ref{eqn:OLS}) and (\ref{eqn:OLS-gap}). High school quality is standardized so that the mean is 50 and the standard deviation is 10. Standard errors are in parentheses.",a municipality,"\ref{eqn:OLS}, ref{eqn:OLS-gap}"
Table 7,Month-of-Birth Effects on Human Capital Investment Outside of School,tab:reg_inputs, task/t8.R ,"Source: Saitama Skill Assessment 2015-2018.

Note: The gaps in human capital investment between the oldest and youngest students are based on equations (\ref{eqn:OLS}) and (\ref{eqn:OLS-gap}). Each estimate in the cell is obtained from a separate regression. The variables Studying and Prep School are available for 2015-2018, while other dependent variables are available only for 2015. Standard errors are in parentheses. We adjust p-values for multiple testing of 30 hypotheses, using a method that controls for a false discovery rate (see \cite{benjamini1995controlling}).", Saitama Skill Assessment 2015-2018.,"\ref{eqn:OLS}, ref{eqn:OLS-gap}"
 Table 8, Month-of-Birth Effects of Relationships with Teachers and Peers , tab:reg_relationships , task/t8.R ,"    Source: Saitama Skill Assessment 2016-2018.

    Note: The gaps in the quality of interpersonal relationships between the oldest and youngest students in a given grade are based on equations (\ref{eqn:OLS}) and (\ref{eqn:OLS-gap}). Each estimate in the cell is obtained from a separate regression. The dependent variables are standardized so that the mean is 0 and standard deviation is 1 for each grade and year. The control variables include school fixed effects, survey year fixed effects, gender, and number of books at home. Standard errors are in parentheses. We adjust p-values for multiple testing of 12 hypotheses, using a method that controls for a false discovery rate (see \cite{benjamini1995controlling}).", Saitama Skill Assessment 2015-2018.,"\ref{eqn:OLS}, ref{eqn:OLS-gap}"
 Table 9, Difference Between the Province and Municipality , diff_bet_saitama_toda , task/t28.R ,"    Source: Saitama Skill Assessment 2015-2018.

    Note: We compare the means of the key variables for the ninth grade students in the Skill Assessment between the municipality that provided administrative data and the province that conducted the Saitama Skill Assessment. Cognitive and noncognitive skills as well as interpersonal relationships measures are standardized to have a mean of zero and a standard deviation of one for the whole province for the ninth graders. The ""Age within Grade (Months)"" column represents the relative age of the students, ranging from 0 to 11, with 0 corresponding to the youngest students and 11 to the oldest students within the same grade. The p-values are adjusted by a method that controls for a false discovery rate (see \cite{benjamini1995controlling}) because there are 16 hypotheses. ", Saitama Skill Assessment 2015-2018., diff mean test
 Table 10 , Questionnaire on Noncognitive Ability , questionare , ,    Source: Saitama Skill Assessment 2016-2018.,,
