month,month_count,month_error_bar,day_in_month,day_birth_ratio,day_error_bar,day_birth_ratio_scale_month,day_error_bar_scale_month
1,48446,0.00072398249336881604,31,0.00274179088419898012,0.00002335427397963923,0.08225372652596940615,0.00070062821938917687
2,43090,0.00068628736200521123,28,0.00269995521169678985,0.00002451026292875754,0.08099865635090369720,0.00073530788786272630
3,46204,0.00070854978181819628,31,0.00261490537946434520,0.00002285644457478053,0.07844716138393036109,0.00068569333724341573
4,45552,0.00070397047139918179,30,0.00266393909993806839,0.00002346568237997273,0.07991817299814205078,0.00070397047139918179
5,48334,0.00072322278229854098,31,0.00273545226844060371,0.00002332976717092068,0.08206356805321811387,0.00069989301512762023
6,46600,0.00071131063896213986,30,0.00272522747754465203,0.00002371035463207133,0.08175682432633955832,0.00071131063896213986
7,49191,0.00072900669674898222,31,0.00278395399794889196,0.00002351634505641878,0.08351861993846676491,0.00070549035169256344
8,48972,0.00072753502615736931,31,0.00277155974034992442,0.00002346887181152804,0.08314679221049772750,0.00070406615434584127
9,49631,0.00073195042436174917,30,0.00290248422613773862,0.00002439834747872497,0.08707452678413216129,0.00073195042436174917
10,49557,0.00073145655564277323,31,0.00280466768873072767,0.00002359537276267010,0.08414003066192182745,0.00070786118288010316
11,46289,0.00070914368267116501,30,0.00270703980060223994,0.00002363812275570550,0.08121119401806720095,0.00070914368267116501
12,48117,0.00072174754046556988,31,0.00272317120040875028,0.00002328217872469580,0.08169513601226251198,0.00069846536174087402
