"","data_name","no_have_data","fm_use_str","name","term","estimate","std.error","statistic","p.value"
"1","grade_6",FALSE,"zselfcontrol ~ zkokugo_level | 0 | 0 | 0","grade_6_t0_corr_zselfcontrol_zkokugo_level","(Intercept)",-0.000519501877400476,0.00461849940525734,-0.112482828688711,0.910441074989778
"2","grade_6",FALSE,"zselfcontrol ~ zkokugo_level | 0 | 0 | 0","grade_6_t0_corr_zselfcontrol_zkokugo_level","zkokugo_level",0.138507704530626,0.00462668718237585,29.9366909996065,4.92972581768172e-195
"3","grade_5",FALSE,"zselfcontrol ~ zkokugo_level | 0 | 0 | 0","grade_5_t0_corr_zselfcontrol_zkokugo_level","(Intercept)",-0.00144867936554445,0.00458540795183421,-0.31593249297807,0.752055175800754
"4","grade_5",FALSE,"zselfcontrol ~ zkokugo_level | 0 | 0 | 0","grade_5_t0_corr_zselfcontrol_zkokugo_level","zkokugo_level",0.170138677720131,0.0045970064208073,37.010754857778,1.65046584975358e-295
"5","grade_4",FALSE,"zselfcontrol ~ zkokugo_level | 0 | 0 | 0","grade_4_t0_corr_zselfcontrol_zkokugo_level","(Intercept)",-0.00261959336759475,0.00470507336497571,-0.556759303073751,0.577694774069707
"6","grade_4",FALSE,"zselfcontrol ~ zkokugo_level | 0 | 0 | 0","grade_4_t0_corr_zselfcontrol_zkokugo_level","zkokugo_level",0.207015439672582,0.00471097337504249,43.9432412777571,0
"7","grade_9",FALSE,"zselfcontrol ~ zkokugo_level | 0 | 0 | 0","grade_9_t0_corr_zselfcontrol_zkokugo_level","(Intercept)",9.59718173716285e-05,0.00471948331131342,0.0203352382116846,0.983776036954289
"8","grade_9",FALSE,"zselfcontrol ~ zkokugo_level | 0 | 0 | 0","grade_9_t0_corr_zselfcontrol_zkokugo_level","zkokugo_level",0.103109082712544,0.00472719520675155,21.8118944115698,6.37678075971955e-105
"9","grade_7",FALSE,"zselfcontrol ~ zkokugo_level | 0 | 0 | 0","grade_7_t0_corr_zselfcontrol_zkokugo_level","(Intercept)",-0.000392047095015268,0.00468216759399366,-0.0837319654081136,0.933269916164794
"10","grade_7",FALSE,"zselfcontrol ~ zkokugo_level | 0 | 0 | 0","grade_7_t0_corr_zselfcontrol_zkokugo_level","zkokugo_level",0.137355320741945,0.0046838251807698,29.3254584534622,2.93140998411919e-187
"11","grade_8",FALSE,"zselfcontrol ~ zkokugo_level | 0 | 0 | 0","grade_8_t0_corr_zselfcontrol_zkokugo_level","(Intercept)",-0.000149014349291091,0.00466909309512254,-0.0319150520786907,0.974539936065202
"12","grade_8",FALSE,"zselfcontrol ~ zkokugo_level | 0 | 0 | 0","grade_8_t0_corr_zselfcontrol_zkokugo_level","zkokugo_level",0.127122715427084,0.00467377207478657,27.1991687641056,1.34400640417249e-161
"13","grade_6",FALSE,"zselfefficacy ~ zkokugo_level | 0 | 0 | 0","grade_6_t0_corr_zselfefficacy_zkokugo_level","(Intercept)",-0.00146070016467379,0.00455480234229456,-0.320694523033448,0.748443389477599
"14","grade_6",FALSE,"zselfefficacy ~ zkokugo_level | 0 | 0 | 0","grade_6_t0_corr_zselfefficacy_zkokugo_level","zkokugo_level",0.260254384109783,0.00456056649259015,57.066240462152,0
"15","grade_5",FALSE,"zselfefficacy ~ zkokugo_level | 0 | 0 | 0","grade_5_t0_corr_zselfefficacy_zkokugo_level","(Intercept)",-0.00140392930523924,0.00458022489697318,-0.306519731414721,0.759210408627141
"16","grade_5",FALSE,"zselfefficacy ~ zkokugo_level | 0 | 0 | 0","grade_5_t0_corr_zselfefficacy_zkokugo_level","zkokugo_level",0.276630985420302,0.00458305111653602,60.3595679791123,0
"17","grade_9",FALSE,"zselfefficacy ~ zkokugo_level | 0 | 0 | 0","grade_9_t0_corr_zselfefficacy_zkokugo_level","(Intercept)",-5.89222824440723e-05,0.00435115657678238,-0.0135417518088132,0.989195634928738
"18","grade_9",FALSE,"zselfefficacy ~ zkokugo_level | 0 | 0 | 0","grade_9_t0_corr_zselfefficacy_zkokugo_level","zkokugo_level",0.371681641647942,0.0043508260808649,85.4278324942962,0
"19","grade_7",FALSE,"zselfefficacy ~ zkokugo_level | 0 | 0 | 0","grade_7_t0_corr_zselfefficacy_zkokugo_level","(Intercept)",-0.001094955820051,0.00471717535292005,-0.232121076307496,0.816445095599815
"20","grade_7",FALSE,"zselfefficacy ~ zkokugo_level | 0 | 0 | 0","grade_7_t0_corr_zselfefficacy_zkokugo_level","zkokugo_level",0.237915274955868,0.00472193312847512,50.38514279695,0
"21","grade_8",FALSE,"zselfefficacy ~ zkokugo_level | 0 | 0 | 0","grade_8_t0_corr_zselfefficacy_zkokugo_level","(Intercept)",-0.000834775475914797,0.00439560143358938,-0.189911548744112,0.849379290011967
"22","grade_8",FALSE,"zselfefficacy ~ zkokugo_level | 0 | 0 | 0","grade_8_t0_corr_zselfefficacy_zkokugo_level","zkokugo_level",0.347419916505519,0.00439916128547951,78.9741257389816,0
"23","grade_6",FALSE,"zdilligence ~ zkokugo_level | 0 | 0 | 0","grade_6_t0_corr_zdilligence_zkokugo_level","(Intercept)",-0.00205246638344392,0.00463731133001138,-0.442598358699993,0.658058398946668
"24","grade_6",FALSE,"zdilligence ~ zkokugo_level | 0 | 0 | 0","grade_6_t0_corr_zdilligence_zkokugo_level","zkokugo_level",0.179389371716278,0.0046411635035725,38.6518103872432,1.51184087627421e-321
"25","grade_9",FALSE,"zdilligence ~ zkokugo_level | 0 | 0 | 0","grade_9_t0_corr_zdilligence_zkokugo_level","(Intercept)",-0.000219220916220303,0.00460427149237323,-0.0476125086419063,0.962025269166124
"26","grade_9",FALSE,"zdilligence ~ zkokugo_level | 0 | 0 | 0","grade_9_t0_corr_zdilligence_zkokugo_level","zkokugo_level",0.148901993148218,0.00461427393703395,32.2698641606727,6.15357875040363e-226
"27","grade_7",FALSE,"zdilligence ~ zkokugo_level | 0 | 0 | 0","grade_7_t0_corr_zdilligence_zkokugo_level","(Intercept)",-0.00151526118203212,0.00470834061161779,-0.321824886307763,0.747586896358341
"28","grade_7",FALSE,"zdilligence ~ zkokugo_level | 0 | 0 | 0","grade_7_t0_corr_zdilligence_zkokugo_level","zkokugo_level",0.171870303849369,0.00472425316525398,36.3804177797761,1.59869646200344e-285
"29","grade_8",FALSE,"zdilligence ~ zkokugo_level | 0 | 0 | 0","grade_8_t0_corr_zdilligence_zkokugo_level","(Intercept)",-0.000743322472842334,0.00476451117222518,-0.156012326547905,0.876024038457715
"30","grade_8",FALSE,"zdilligence ~ zkokugo_level | 0 | 0 | 0","grade_8_t0_corr_zdilligence_zkokugo_level","zkokugo_level",0.159236862418888,0.00477106873044976,33.3755121578131,3.82295482906112e-241
"31","grade_6",FALSE,"zyunan ~ zkokugo_level | 0 | 0 | 0","grade_6_t0_corr_zyunan_zkokugo_level","(Intercept)",14.0745493250532,0.00949195334122447,1482.78745365572,0
"32","grade_6",FALSE,"zyunan ~ zkokugo_level | 0 | 0 | 0","grade_6_t0_corr_zyunan_zkokugo_level","zkokugo_level",0.389992320731742,0.00949647650262702,41.0670547780388,0
"33","grade_5",FALSE,"zyunan ~ zkokugo_level | 0 | 0 | 0","grade_5_t0_corr_zyunan_zkokugo_level","(Intercept)",13.8974947690625,0.00962431655738103,1443.99809443137,0
"34","grade_5",FALSE,"zyunan ~ zkokugo_level | 0 | 0 | 0","grade_5_t0_corr_zyunan_zkokugo_level","zkokugo_level",0.282938548034667,0.0096288173090774,29.384558762781,3.50324705055958e-189
"35","grade_4",FALSE,"zyunan ~ zkokugo_level | 0 | 0 | 0","grade_4_t0_corr_zyunan_zkokugo_level","(Intercept)",14.1275287135413,0.00979946913503682,1441.66265731988,0
"36","grade_4",FALSE,"zyunan ~ zkokugo_level | 0 | 0 | 0","grade_4_t0_corr_zyunan_zkokugo_level","zkokugo_level",0.111007379903233,0.00980432911609975,11.3222820846505,1.05099452157394e-29
"37","grade_9",FALSE,"zyunan ~ zkokugo_level | 0 | 0 | 0","grade_9_t0_corr_zyunan_zkokugo_level","(Intercept)",13.5952488274692,0.00908505427793646,1496.44112314068,0
"38","grade_9",FALSE,"zyunan ~ zkokugo_level | 0 | 0 | 0","grade_9_t0_corr_zyunan_zkokugo_level","zkokugo_level",0.535513954405663,0.00909002074125316,58.9122918031798,0
"39","grade_7",FALSE,"zyunan ~ zkokugo_level | 0 | 0 | 0","grade_7_t0_corr_zyunan_zkokugo_level","(Intercept)",14.2800215187101,0.00914964400295619,1560.71881202113,0
"40","grade_7",FALSE,"zyunan ~ zkokugo_level | 0 | 0 | 0","grade_7_t0_corr_zyunan_zkokugo_level","zkokugo_level",0.341553911163759,0.00915819056999748,37.2949119755927,7.80143204208349e-303
"41","grade_8",FALSE,"zyunan ~ zkokugo_level | 0 | 0 | 0","grade_8_t0_corr_zyunan_zkokugo_level","(Intercept)",13.6780610103437,0.00944622952522473,1447.99160065066,0
"42","grade_8",FALSE,"zyunan ~ zkokugo_level | 0 | 0 | 0","grade_8_t0_corr_zyunan_zkokugo_level","zkokugo_level",0.521198003833548,0.00945341198807814,55.1333216505152,0
"43","grade_6",FALSE,"planning ~ zkokugo_level | 0 | 0 | 0","grade_6_t0_corr_planning_zkokugo_level","(Intercept)",14.3310405768918,0.00945259023531543,1516.09666981545,0
"44","grade_6",FALSE,"planning ~ zkokugo_level | 0 | 0 | 0","grade_6_t0_corr_planning_zkokugo_level","zkokugo_level",0.53995995085696,0.00946037756955779,57.0759408794082,0
"45","grade_5",FALSE,"planning ~ zkokugo_level | 0 | 0 | 0","grade_5_t0_corr_planning_zkokugo_level","(Intercept)",14.2142057887415,0.00960651796898731,1479.64182595912,0
"46","grade_5",FALSE,"planning ~ zkokugo_level | 0 | 0 | 0","grade_5_t0_corr_planning_zkokugo_level","zkokugo_level",0.48033696380668,0.00961101868819145,49.9777369486176,0
"47","grade_4",FALSE,"planning ~ zkokugo_level | 0 | 0 | 0","grade_4_t0_corr_planning_zkokugo_level","(Intercept)",14.2726661984701,0.00987288834778111,1445.64241949296,0
"48","grade_4",FALSE,"planning ~ zkokugo_level | 0 | 0 | 0","grade_4_t0_corr_planning_zkokugo_level","zkokugo_level",0.310085635655855,0.00987840805931586,31.3902436297342,1.7612852043083e-215
"49","grade_9",FALSE,"planning ~ zkokugo_level | 0 | 0 | 0","grade_9_t0_corr_planning_zkokugo_level","(Intercept)",13.5600402684746,0.00910956700243028,1488.54937505339,0
"50","grade_9",FALSE,"planning ~ zkokugo_level | 0 | 0 | 0","grade_9_t0_corr_planning_zkokugo_level","zkokugo_level",0.475591223891796,0.00911286117577785,52.1890122891289,0
"51","grade_7",FALSE,"planning ~ zkokugo_level | 0 | 0 | 0","grade_7_t0_corr_planning_zkokugo_level","(Intercept)",14.6168290028563,0.00904886362170075,1615.32205743521,0
"52","grade_7",FALSE,"planning ~ zkokugo_level | 0 | 0 | 0","grade_7_t0_corr_planning_zkokugo_level","zkokugo_level",0.49027445129,0.00905729519248084,54.1303381275476,0
"53","grade_8",FALSE,"planning ~ zkokugo_level | 0 | 0 | 0","grade_8_t0_corr_planning_zkokugo_level","(Intercept)",13.8180268547741,0.00940284482054211,1469.55810911462,0
"54","grade_8",FALSE,"planning ~ zkokugo_level | 0 | 0 | 0","grade_8_t0_corr_planning_zkokugo_level","zkokugo_level",0.493493354268184,0.00940708028501943,52.4597791574142,0
"55","grade_6",FALSE,"execution ~ zkokugo_level | 0 | 0 | 0","grade_6_t0_corr_execution_zkokugo_level","(Intercept)",13.8885039371714,0.00988017159239059,1405.69460836772,0
"56","grade_6",FALSE,"execution ~ zkokugo_level | 0 | 0 | 0","grade_6_t0_corr_execution_zkokugo_level","zkokugo_level",0.566183835681635,0.00988917339798479,57.2528979820509,0
"57","grade_5",FALSE,"execution ~ zkokugo_level | 0 | 0 | 0","grade_5_t0_corr_execution_zkokugo_level","(Intercept)",13.5878727518796,0.0100706568290929,1349.25387514208,0
"58","grade_5",FALSE,"execution ~ zkokugo_level | 0 | 0 | 0","grade_5_t0_corr_execution_zkokugo_level","zkokugo_level",0.392097726783616,0.0100734962984894,38.9236979063975,0
"59","grade_4",FALSE,"execution ~ zkokugo_level | 0 | 0 | 0","grade_4_t0_corr_execution_zkokugo_level","(Intercept)",13.7939253755033,0.0102102770058747,1350.98444122199,0
"60","grade_4",FALSE,"execution ~ zkokugo_level | 0 | 0 | 0","grade_4_t0_corr_execution_zkokugo_level","zkokugo_level",0.0948879716817385,0.0102092129119679,9.29434741932987,1.50286903496527e-20
"61","grade_9",FALSE,"execution ~ zkokugo_level | 0 | 0 | 0","grade_9_t0_corr_execution_zkokugo_level","(Intercept)",14.1946814688739,0.00940301218060079,1509.5887569048,0
"62","grade_9",FALSE,"execution ~ zkokugo_level | 0 | 0 | 0","grade_9_t0_corr_execution_zkokugo_level","zkokugo_level",0.624856956830003,0.00940581691435477,66.4330342084771,0
"63","grade_7",FALSE,"execution ~ zkokugo_level | 0 | 0 | 0","grade_7_t0_corr_execution_zkokugo_level","(Intercept)",14.425962666457,0.00961280588210182,1500.70258812954,0
"64","grade_7",FALSE,"execution ~ zkokugo_level | 0 | 0 | 0","grade_7_t0_corr_execution_zkokugo_level","zkokugo_level",0.515251683759373,0.00962292933190358,53.5441616567964,0
"65","grade_8",FALSE,"execution ~ zkokugo_level | 0 | 0 | 0","grade_8_t0_corr_execution_zkokugo_level","(Intercept)",14.1672834689836,0.00964590194809137,1468.73600262823,0
"66","grade_8",FALSE,"execution ~ zkokugo_level | 0 | 0 | 0","grade_8_t0_corr_execution_zkokugo_level","zkokugo_level",0.639452208227083,0.00964757963894125,66.2811018056814,0
"67","grade_6",FALSE,"resource ~ zkokugo_level | 0 | 0 | 0","grade_6_t0_corr_resource_zkokugo_level","(Intercept)",11.8698929180842,0.00931392486644915,1274.42437944096,0
"68","grade_6",FALSE,"resource ~ zkokugo_level | 0 | 0 | 0","grade_6_t0_corr_resource_zkokugo_level","zkokugo_level",-0.510035778929852,0.00932353982085009,-54.704091871766,0
"69","grade_5",FALSE,"resource ~ zkokugo_level | 0 | 0 | 0","grade_5_t0_corr_resource_zkokugo_level","(Intercept)",11.5261188377373,0.00944509379115193,1220.32867990521,0
"70","grade_5",FALSE,"resource ~ zkokugo_level | 0 | 0 | 0","grade_5_t0_corr_resource_zkokugo_level","zkokugo_level",-0.546623930134133,0.00945365550430251,-57.8214353046137,0
"71","grade_4",FALSE,"resource ~ zkokugo_level | 0 | 0 | 0","grade_4_t0_corr_resource_zkokugo_level","(Intercept)",11.495387987261,0.00995580063659701,1154.64224394013,0
"72","grade_4",FALSE,"resource ~ zkokugo_level | 0 | 0 | 0","grade_4_t0_corr_resource_zkokugo_level","zkokugo_level",-0.571756236503041,0.00995264981389646,-57.4476392914701,0
"73","grade_9",FALSE,"resource ~ zkokugo_level | 0 | 0 | 0","grade_9_t0_corr_resource_zkokugo_level","(Intercept)",11.5367770336722,0.00971888109072997,1187.04786342907,0
"74","grade_9",FALSE,"resource ~ zkokugo_level | 0 | 0 | 0","grade_9_t0_corr_resource_zkokugo_level","zkokugo_level",-0.369900460590071,0.00972628212065599,-38.0310231598673,8.00427300352334e-315
"75","grade_7",FALSE,"resource ~ zkokugo_level | 0 | 0 | 0","grade_7_t0_corr_resource_zkokugo_level","(Intercept)",12.223634014165,0.00929893786153993,1314.51937803795,0
