"","term","estimate","std.error","statistic","p.value","name","is_adopt","tag_adopt","num_p_adjust","p_value_adjust","p_value_adjust_num"
"1","relative_age",0.00734566972119747,0.00876310833972885,0.838249333047132,0.401891043826502,"all_ols_age_father",TRUE,"table14_parametroric",NA,NA,NA
"2","I(relative_age^2)",-0.00169834130064592,0.000782120945131268,-2.17145610435081,0.0298971309964553,"all_ols_age_father",TRUE,"table14_parametroric",NA,NA,NA
"3","as.factor(year)2001",-0.0199269690323439,0.0328996402466252,-0.605689572377253,0.544721155610038,"all_ols_age_father",TRUE,"table14_parametroric",NA,NA,NA
"4","as.factor(year)2002",0.0137099710948609,0.0273009493927316,0.502179279468973,0.615541614720279,"all_ols_age_father",TRUE,"table14_parametroric",NA,NA,NA
"5","as.factor(year)2003",0.19559369981265,0.0352357483397786,5.55100172491126,2.8416565134223e-08,"all_ols_age_father",TRUE,"table14_parametroric",NA,NA,NA
"6","as.factor(year)2004",0.355106471442486,0.0321644253102847,11.0403487087624,2.45737768000105e-28,"all_ols_age_father",TRUE,"table14_parametroric",NA,NA,NA
"7","as.factor(year)2005",0.524806234109998,0.0375555678479617,13.9741259201458,2.28145980626111e-44,"all_ols_age_father",TRUE,"table14_parametroric",NA,NA,NA
"8","as.factor(year)2006",0.7199052229723,0.0340644306611554,21.1336343804868,4.26889994757065e-99,"all_ols_age_father",TRUE,"table14_parametroric",NA,NA,NA
"9","as.factor(year)2007",0.949845687396984,0.0460961894745537,20.6057311509734,2.64371902669926e-94,"all_ols_age_father",TRUE,"table14_parametroric",NA,NA,NA
"10","as.factor(year)2008",1.05129568011292,0.0416065499285765,25.2675523906121,8.72121864607728e-141,"all_ols_age_father",TRUE,"table14_parametroric",NA,NA,NA
"11","as.factor(year)2009",1.31554616376017,0.0606851344510018,21.6782277185587,3.63639227158768e-104,"all_ols_age_father",TRUE,"table14_parametroric",NA,NA,NA
"12","relative_age",-0.0115932281757691,0.00213802340021247,-5.42240471952599,5.88268249921656e-08,"all_ols_liner_age_father",FALSE,NA,NA,NA,NA
"13","as.factor(year)2001",-0.0261596213078229,0.0328722085823222,-0.795797496913271,0.426150084796553,"all_ols_liner_age_father",FALSE,NA,NA,NA,NA
"14","as.factor(year)2002",0.00674697106363548,0.0267330391009326,0.252383241507327,0.800744945107215,"all_ols_liner_age_father",FALSE,NA,NA,NA,NA
"15","as.factor(year)2003",0.188783446482439,0.0350273400401627,5.38960270080393,7.06420796169964e-08,"all_ols_liner_age_father",FALSE,NA,NA,NA,NA
"16","as.factor(year)2004",0.348232714241412,0.0320966438884884,10.8495054950685,2.0177456519143e-27,"all_ols_liner_age_father",FALSE,NA,NA,NA,NA
"17","as.factor(year)2005",0.517843109248612,0.0369901562793092,13.9994842232735,1.59753787112971e-44,"all_ols_liner_age_father",FALSE,NA,NA,NA,NA
"18","as.factor(year)2006",0.712925295100438,0.0337912163185315,21.0979471227101,9.07933816085691e-99,"all_ols_liner_age_father",FALSE,NA,NA,NA,NA
"19","as.factor(year)2007",0.943036354589045,0.0458517329564866,20.5670820661018,5.86555281926093e-94,"all_ols_liner_age_father",FALSE,NA,NA,NA,NA
"20","as.factor(year)2008",1.04438304306387,0.0412117170425966,25.3418958978192,1.32809263023789e-141,"all_ols_liner_age_father",FALSE,NA,NA,NA,NA
"21","as.factor(year)2009",1.29198596114,0.0591068520309125,21.8584803072291,7.1523752220188e-106,"all_ols_liner_age_father",FALSE,NA,NA,NA,NA
"22","(Intercept)",31.6274915713408,0.0335434729387463,942.880650107273,0,"all_no_live_age_father",TRUE,"table14_parametroric_no_live",NA,NA,NA
"23","relative_age",0.00812705139205198,0.00831073935710232,0.977897518240257,0.328125435840587,"all_no_live_age_father",TRUE,"table14_parametroric_no_live",NA,NA,NA
"24","I(relative_age^2)",-0.00177946082534419,0.000717935150045052,-2.47858156162506,0.0131908876976968,"all_no_live_age_father",TRUE,"table14_parametroric_no_live",NA,NA,NA
"25","as.factor(year)2001",-0.0179072396960874,0.0332382348529454,-0.538754232146013,0.59005666211675,"all_no_live_age_father",TRUE,"table14_parametroric_no_live",NA,NA,NA
"26","as.factor(year)2002",0.0192236592079945,0.0333388435505263,0.576614458112812,0.564200162222384,"all_no_live_age_father",TRUE,"table14_parametroric_no_live",NA,NA,NA
"27","as.factor(year)2003",0.204791524798149,0.0334972447564889,6.1136826711241,9.74218658454958e-10,"all_no_live_age_father",TRUE,"table14_parametroric_no_live",NA,NA,NA
"28","as.factor(year)2004",0.368642488595217,0.0336554756434374,10.9534178776968,6.44067102184158e-28,"all_no_live_age_father",TRUE,"table14_parametroric_no_live",NA,NA,NA
"29","as.factor(year)2005",0.536198286599136,0.0339469013936388,15.7952055883254,3.45245761389766e-56,"all_no_live_age_father",TRUE,"table14_parametroric_no_live",NA,NA,NA
"30","as.factor(year)2006",0.739361504434954,0.0337485619456661,21.9079410146511,2.4199423475398e-106,"all_no_live_age_father",TRUE,"table14_parametroric_no_live",NA,NA,NA
"31","as.factor(year)2007",0.970734450207665,0.0337795058676433,28.7373786345854,1.76763369333449e-181,"all_no_live_age_father",TRUE,"table14_parametroric_no_live",NA,NA,NA
"32","as.factor(year)2008",1.07149167795457,0.0338147859588847,31.6870755668068,3.67595073349534e-220,"all_no_live_age_father",TRUE,"table14_parametroric_no_live",NA,NA,NA
"33","as.factor(year)2009",1.33420221978888,0.0550264653394677,24.246555026894,8.39428557695378e-130,"all_no_live_age_father",TRUE,"table14_parametroric_no_live",NA,NA,NA
"34","(Intercept)",31.6677989984823,0.0293378632835823,1079.41736221137,0,"all_no_live_liner_age_father",TRUE,"table14_parametroric_no_live_liner",NA,NA,NA
"35","relative_age",-0.011707600704071,0.00224269922304199,-5.22031692158472,1.78680820601424e-07,"all_no_live_liner_age_father",TRUE,"table14_parametroric_no_live_liner",NA,NA,NA
"36","as.factor(year)2001",-0.0235013835331328,0.0331616699014267,-0.708691196884561,0.478516424381629,"all_no_live_liner_age_father",TRUE,"table14_parametroric_no_live_liner",NA,NA,NA
"37","as.factor(year)2002",0.0133082204760099,0.0332534613937153,0.400205570134273,0.689005265226779,"all_no_live_liner_age_father",TRUE,"table14_parametroric_no_live_liner",NA,NA,NA
"38","as.factor(year)2003",0.198980698630721,0.0334152568755459,5.95478584443682,2.60567222142216e-09,"all_no_live_liner_age_father",TRUE,"table14_parametroric_no_live_liner",NA,NA,NA
"39","as.factor(year)2004",0.362752449857249,0.0335716286762479,10.8053277175051,3.26814690626442e-27,"all_no_live_liner_age_father",TRUE,"table14_parametroric_no_live_liner",NA,NA,NA
"40","as.factor(year)2005",0.530253040745772,0.0338622082619492,15.6591394348494,2.9566889267223e-55,"all_no_live_liner_age_father",TRUE,"table14_parametroric_no_live_liner",NA,NA,NA
"41","as.factor(year)2006",0.73345192961252,0.0336643903680483,21.7871739720752,3.39693234083764e-105,"all_no_live_liner_age_father",TRUE,"table14_parametroric_no_live_liner",NA,NA,NA
"42","as.factor(year)2007",0.965001440100779,0.0337003768609588,28.6347373527064,3.35572137726557e-180,"all_no_live_liner_age_father",TRUE,"table14_parametroric_no_live_liner",NA,NA,NA
"43","as.factor(year)2008",1.06565255802889,0.033732777481634,31.591011401569,7.66141576720897e-219,"all_no_live_liner_age_father",TRUE,"table14_parametroric_no_live_liner",NA,NA,NA
"44","as.factor(year)2009",1.3109601579058,0.054221838397763,24.1777150433152,4.44959710391203e-129,"all_no_live_liner_age_father",TRUE,"table14_parametroric_no_live_liner",NA,NA,NA
"45","relative_age",0.0247690299963677,0.00703124013450356,3.52271143106344,0.000427189574484602,"all_ols_age_mother",TRUE,"table14_parametroric",NA,NA,NA
"46","I(relative_age^2)",-0.00313890917495106,0.000580148451144239,-5.41052754473468,6.28645772985138e-08,"all_ols_age_mother",TRUE,"table14_parametroric",NA,NA,NA
"47","as.factor(year)2001",0.0482019100096242,0.0259944953859016,1.85431220318156,0.0636950235267305,"all_ols_age_mother",TRUE,"table14_parametroric",NA,NA,NA
"48","as.factor(year)2002",0.168511978971089,0.0226366769714327,7.4442012484319,9.76689118719847e-14,"all_ols_age_mother",TRUE,"table14_parametroric",NA,NA,NA
"49","as.factor(year)2003",0.394106200308255,0.0282719176813736,13.9398467677311,3.68838033117803e-44,"all_ols_age_mother",TRUE,"table14_parametroric",NA,NA,NA
"50","as.factor(year)2004",0.589137127299938,0.0260888246364609,22.5819727607267,7.30774281223411e-113,"all_ols_age_mother",TRUE,"table14_parametroric",NA,NA,NA
"51","as.factor(year)2005",0.740276864184853,0.0278375072688709,26.592785662697,1.02486033339466e-155,"all_ols_age_mother",TRUE,"table14_parametroric",NA,NA,NA
"52","as.factor(year)2006",0.941446729788621,0.030311898417582,31.0586528372155,1.31180441580638e-211,"all_ols_age_mother",TRUE,"table14_parametroric",NA,NA,NA
"53","as.factor(year)2007",1.18813387723926,0.0299698354766958,39.6443243127957,0,"all_ols_age_mother",TRUE,"table14_parametroric",NA,NA,NA
"54","as.factor(year)2008",1.22559741639982,0.0323831844646044,37.8467231269189,4.7669501085794e-313,"all_ols_age_mother",TRUE,"table14_parametroric",NA,NA,NA
"55","as.factor(year)2009",1.50233014453502,0.0506883683732988,29.638557971939,6.68464508001684e-193,"all_ols_age_mother",TRUE,"table14_parametroric",NA,NA,NA
"56","relative_age",-0.0102298311742556,0.00187443148407696,-5.45756473957921,4.82909525434767e-08,"all_ols_liner_age_mother",FALSE,NA,NA,NA,NA
"57","as.factor(year)2001",0.0366762394956564,0.0257214233427643,1.42590240854512,0.153897061867501,"all_ols_liner_age_mother",FALSE,NA,NA,NA,NA
"58","as.factor(year)2002",0.155658633318511,0.0222871679738868,6.98422668599669,2.86740557709303e-12,"all_ols_liner_age_mother",FALSE,NA,NA,NA,NA
"59","as.factor(year)2003",0.381533110432041,0.0278513223150149,13.6989226621514,1.04662951579822e-42,"all_ols_liner_age_mother",FALSE,NA,NA,NA,NA
"60","as.factor(year)2004",0.576442364195098,0.0256057571759363,22.5122170859616,3.52829276284455e-112,"all_ols_liner_age_mother",FALSE,NA,NA,NA,NA
"61","as.factor(year)2005",0.727415174168552,0.0274185911287343,26.5299982319745,5.43342487501539e-155,"all_ols_liner_age_mother",FALSE,NA,NA,NA,NA
"62","as.factor(year)2006",0.928559225480823,0.0296811517378286,31.2844741903117,1.15571399664508e-214,"all_ols_liner_age_mother",FALSE,NA,NA,NA,NA
"63","as.factor(year)2007",1.1755064526885,0.0296857014784375,39.5984057692672,0,"all_ols_liner_age_mother",FALSE,NA,NA,NA,NA
"64","as.factor(year)2008",1.21279642928959,0.0321364446117085,37.738973428558,2.77697441221569e-311,"all_ols_liner_age_mother",FALSE,NA,NA,NA,NA
"65","as.factor(year)2009",1.45883402171748,0.0496746134374663,29.3677981722788,1.96345533589524e-189,"all_ols_liner_age_mother",FALSE,NA,NA,NA,NA
"66","(Intercept)",29.3044646073189,0.0281494410774973,1041.03184594826,0,"all_no_live_age_mother",TRUE,"table14_parametroric_no_live",NA,NA,NA
"67","relative_age",0.0261254200944776,0.00696845871513608,3.74909591381104,0.000177490725117436,"all_no_live_age_mother",TRUE,"table14_parametroric_no_live",NA,NA,NA
"68","I(relative_age^2)",-0.00327795182670255,0.000602046877658407,-5.44467872576929,5.19203115708316e-08,"all_no_live_age_mother",TRUE,"table14_parametroric_no_live",NA,NA,NA
"69","as.factor(year)2001",0.0466733300074838,0.02791140860614,1.67219543327586,0.0944863395953144,"all_no_live_age_mother",TRUE,"table14_parametroric_no_live",NA,NA,NA
"70","as.factor(year)2002",0.171894158579651,0.0279837570012029,6.14264048148582,8.12141967259448e-10,"all_no_live_age_mother",TRUE,"table14_parametroric_no_live",NA,NA,NA
"71","as.factor(year)2003",0.404301645052591,0.0281188464735064,14.3783154630303,7.21492640823638e-47,"all_no_live_age_mother",TRUE,"table14_parametroric_no_live",NA,NA,NA
"72","as.factor(year)2004",0.607928708095585,0.0282453303504501,21.5231580071039,1.03865613935781e-102,"all_no_live_age_mother",TRUE,"table14_parametroric_no_live",NA,NA,NA
"73","as.factor(year)2005",0.758778777337642,0.0284859698136523,26.6369297693346,3.16457341313501e-156,"all_no_live_age_mother",TRUE,"table14_parametroric_no_live",NA,NA,NA
"74","as.factor(year)2006",0.970751172564485,0.0283187192963202,34.2794870914458,2.90786106828063e-257,"all_no_live_age_mother",TRUE,"table14_parametroric_no_live",NA,NA,NA
"75","as.factor(year)2007",1.21881197882664,0.0283491861136842,42.9928384518355,0,"all_no_live_age_mother",TRUE,"table14_parametroric_no_live",NA,NA,NA
"76","as.factor(year)2008",1.25525998176598,0.0283712153147778,44.2441385692827,0,"all_no_live_age_mother",TRUE,"table14_parametroric_no_live",NA,NA,NA
"77","as.factor(year)2009",1.53088251515755,0.0461125984806039,33.1987909074671,1.90986928998527e-241,"all_no_live_age_mother",TRUE,"table14_parametroric_no_live",NA,NA,NA
"78","(Intercept)",29.3786896820196,0.024628722980945,1192.86289040441,0,"all_no_live_liner_age_mother",TRUE,"table14_parametroric_no_live_liner",NA,NA,NA
"79","relative_age",-0.0104076329939439,0.00188077681245296,-5.53368848713633,3.1370297915756e-08,"all_no_live_liner_age_mother",TRUE,"table14_parametroric_no_live_liner",NA,NA,NA
"80","as.factor(year)2001",0.0363582423168545,0.0278477372792262,1.30560849351221,0.191686257463398,"all_no_live_liner_age_mother",TRUE,"table14_parametroric_no_live_liner",NA,NA,NA
"81","as.factor(year)2002",0.161009932161725,0.027912964352007,5.7682849492891,8.01235240639755e-09,"all_no_live_liner_age_mother",TRUE,"table14_parametroric_no_live_liner",NA,NA,NA
"82","as.factor(year)2003",0.393606603529777,0.0280508565287644,14.0318925066034,1.011842362366e-44,"all_no_live_liner_age_mother",TRUE,"table14_parametroric_no_live_liner",NA,NA,NA
"83","as.factor(year)2004",0.597083780062837,0.0281757192557368,21.1914299203299,1.2520393795321e-99,"all_no_live_liner_age_mother",TRUE,"table14_parametroric_no_live_liner",NA,NA,NA
"84","as.factor(year)2005",0.747828047952384,0.0284155914709692,26.3175253176202,1.49219324868621e-152,"all_no_live_liner_age_mother",TRUE,"table14_parametroric_no_live_liner",NA,NA,NA
"85","as.factor(year)2006",0.959870281633757,0.0282488262134835,33.9791209156719,8.13540251258744e-253,"all_no_live_liner_age_mother",TRUE,"table14_parametroric_no_live_liner",NA,NA,NA
"86","as.factor(year)2007",1.20819841115116,0.028282796867761,42.7184912722815,0,"all_no_live_liner_age_mother",TRUE,"table14_parametroric_no_live_liner",NA,NA,NA
"87","as.factor(year)2008",1.24446943106202,0.0283026213241839,43.9701120545556,0,"all_no_live_liner_age_mother",TRUE,"table14_parametroric_no_live_liner",NA,NA,NA
"88","as.factor(year)2009",1.48810961451649,0.0454396324159516,32.7491560867928,5.17130506334081e-235,"all_no_live_liner_age_mother",TRUE,"table14_parametroric_no_live_liner",NA,NA,NA
"89","relative_age",-0.0263941786530926,0.0211666563932414,-1.24696967545239,0.212409129350374,"all_ols_I(no_legitimate*100)",TRUE,"table14_parametroric",NA,NA,NA
"90","I(relative_age^2)",0.00191320647685601,0.00185453974562474,1.03163411912291,0.302243988445878,"all_ols_I(no_legitimate*100)",TRUE,"table14_parametroric",NA,NA,NA
"91","as.factor(year)2001",0.019389094903247,0.0637131611678025,0.304318519876632,0.760885348146482,"all_ols_I(no_legitimate*100)",TRUE,"table14_parametroric",NA,NA,NA
"92","as.factor(year)2002",0.206786368706633,0.0815696852909513,2.5350884702944,0.0112421581108546,"all_ols_I(no_legitimate*100)",TRUE,"table14_parametroric",NA,NA,NA
"93","as.factor(year)2003",0.201754455811486,0.0746695314020977,2.70196493834992,0.0068933070681941,"all_ols_I(no_legitimate*100)",TRUE,"table14_parametroric",NA,NA,NA
"94","as.factor(year)2004",0.324651147248037,0.0787494351837442,4.12258381905262,3.74699172994764e-05,"all_ols_I(no_legitimate*100)",TRUE,"table14_parametroric",NA,NA,NA
"95","as.factor(year)2005",0.376545235401173,0.0749540993431339,5.02367767341689,5.0706556888601e-07,"all_ols_I(no_legitimate*100)",TRUE,"table14_parametroric",NA,NA,NA
"96","as.factor(year)2006",0.381421899639907,0.0860926474105137,4.43036555515806,9.40909745838607e-06,"all_ols_I(no_legitimate*100)",TRUE,"table14_parametroric",NA,NA,NA
"97","as.factor(year)2007",0.324525491034637,0.082882076456278,3.91550869512579,9.02242837412993e-05,"all_ols_I(no_legitimate*100)",TRUE,"table14_parametroric",NA,NA,NA
"98","as.factor(year)2008",0.436546688955963,0.0985502709286371,4.4296853254932,9.43882230760029e-06,"all_ols_I(no_legitimate*100)",TRUE,"table14_parametroric",NA,NA,NA
"99","as.factor(year)2009",0.525881546488387,0.129383712830719,4.06451117364697,4.81396800512736e-05,"all_ols_I(no_legitimate*100)",TRUE,"table14_parametroric",NA,NA,NA
"100","relative_age",-0.00506191245910888,0.00652869166164919,-0.775333362554636,0.438143021916796,"all_ols_liner_I(no_legitimate*100)",FALSE,NA,NA,NA,NA
"101","as.factor(year)2001",0.0264141392484769,0.0627356122533547,0.421038996826949,0.673726764687697,"all_ols_liner_I(no_legitimate*100)",FALSE,NA,NA,NA,NA
"102","as.factor(year)2002",0.214620649785294,0.0804073754176615,2.669166213553,0.00760419642402863,"all_ols_liner_I(no_legitimate*100)",FALSE,NA,NA,NA,NA
"103","as.factor(year)2003",0.209417898682368,0.0742593257558401,2.82008887841131,0.00480120070771958,"all_ols_liner_I(no_legitimate*100)",FALSE,NA,NA,NA,NA
"104","as.factor(year)2004",0.332388747436481,0.0782554486347763,4.24748376292317,2.16219054985233e-05,"all_ols_liner_I(no_legitimate*100)",FALSE,NA,NA,NA,NA
"105","as.factor(year)2005",0.384384578249254,0.071906265601058,5.34563400054526,9.01356211293891e-08,"all_ols_liner_I(no_legitimate*100)",FALSE,NA,NA,NA,NA
"106","as.factor(year)2006",0.389276971854939,0.0839107774138942,4.63917727677353,3.49876486926605e-06,"all_ols_liner_I(no_legitimate*100)",FALSE,NA,NA,NA,NA
"107","as.factor(year)2007",0.332221754171517,0.0811355397973397,4.0946514314361,4.22862236506812e-05,"all_ols_liner_I(no_legitimate*100)",FALSE,NA,NA,NA,NA
"108","as.factor(year)2008",0.444348717113327,0.0983239286234542,4.51923273748575,6.2076590372338e-06,"all_ols_liner_I(no_legitimate*100)",FALSE,NA,NA,NA,NA
"109","as.factor(year)2009",0.552392973602831,0.12779040464573,4.32264828595087,1.54193492863276e-05,"all_ols_liner_I(no_legitimate*100)",FALSE,NA,NA,NA,NA
"110","(Intercept)",1.72583636952939,0.0820244579533757,21.0405092894414,3.04543203692043e-98,"all_no_live_I(no_legitimate*100)",TRUE,"table14_parametroric_no_live",NA,NA,NA
"111","relative_age",-0.0262888585376727,0.0203053232397157,-1.294678160368,0.195431801444835,"all_no_live_I(no_legitimate*100)",TRUE,"table14_parametroric_no_live",NA,NA,NA
"112","I(relative_age^2)",0.00184906349046938,0.00175429833861134,1.05401883463736,0.291874740889004,"all_no_live_I(no_legitimate*100)",TRUE,"table14_parametroric_no_live",NA,NA,NA
"113","as.factor(year)2001",0.0384229638743655,0.0813308904993629,0.472427679550201,0.636621732053601,"all_no_live_I(no_legitimate*100)",TRUE,"table14_parametroric_no_live",NA,NA,NA
"114","as.factor(year)2002",0.233596710626564,0.0815417059971872,2.86475132902692,0.00417352074596348,"all_no_live_I(no_legitimate*100)",TRUE,"table14_parametroric_no_live",NA,NA,NA
"115","as.factor(year)2003",0.200958786649763,0.081935342462355,2.45265084163276,0.014181088497744,"all_no_live_I(no_legitimate*100)",TRUE,"table14_parametroric_no_live",NA,NA,NA
"116","as.factor(year)2004",0.288799348105825,0.0823039030678084,3.508938669262,0.000449933296278429,"all_no_live_I(no_legitimate*100)",TRUE,"table14_parametroric_no_live",NA,NA,NA
"117","as.factor(year)2005",0.341248729077929,0.0830051009987956,4.11117780680588,3.93700948704109e-05,"all_no_live_I(no_legitimate*100)",TRUE,"table14_parametroric_no_live",NA,NA,NA
