"","data_name","no_have_data","name","fm","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual"
"1","8_9",FALSE,"gakuryoku_between_grade8_9","gakuryoku ~ 1 + distance_cutoff + I(distance_cutoff^2) + upper_cutoff +      distance_cutoff * upper_cutoff + I(distance_cutoff^2) * upper_cutoff",0.0410611838344325,0.0410435729223868,1.12868053916376,2331.57622545981,0,6,-419278.703591453,838571.407182906,838645.008849435,346833.571958654,272257
"2","7_8",FALSE,"gakuryoku_between_grade7_8","gakuryoku ~ 1 + distance_cutoff + I(distance_cutoff^2) + upper_cutoff +      distance_cutoff * upper_cutoff + I(distance_cutoff^2) * upper_cutoff",0.0246701310836447,0.0246518858862345,1.06657296705789,1352.14382881294,0,6,-396492.101132237,792998.202264475,793071.674890907,304056.36983558,267284
"3","6_7",FALSE,"gakuryoku_between_grade6_7","gakuryoku ~ 1 + distance_cutoff + I(distance_cutoff^2) + upper_cutoff +      distance_cutoff * upper_cutoff + I(distance_cutoff^2) * upper_cutoff",0.0329625733740141,0.0329447203533957,1.13945862636441,1846.33032575628,0,6,-419659.807870253,839333.615740506,839407.180699297,351640.348368671,270833
"4","5_6",FALSE,"gakuryoku_between_grade5_6","gakuryoku ~ 1 + distance_cutoff + I(distance_cutoff^2) + upper_cutoff +      distance_cutoff * upper_cutoff + I(distance_cutoff^2) * upper_cutoff",0.0396058761573253,0.0395883672674832,1.19960148826946,2262.04382541834,0,6,-439075.501907057,878165.003814115,878238.656764614,394670.694526619,274259
"5","4_5",FALSE,"gakuryoku_between_grade4_5","gakuryoku ~ 1 + distance_cutoff + I(distance_cutoff^2) + upper_cutoff +      distance_cutoff * upper_cutoff + I(distance_cutoff^2) * upper_cutoff",0.059030558452276,0.0590132195938853,1.2756657363877,3404.52393820642,0,6,-451096.051128598,902206.102257196,902279.680488043,441569.233344894,271347
"6","8_9",FALSE,"kokugo_level_between_grade8_9","kokugo_level ~ 1 + distance_cutoff + I(distance_cutoff^2) + upper_cutoff +      distance_cutoff * upper_cutoff + I(distance_cutoff^2) * upper_cutoff",0.0357928869950517,0.0357751814117743,1.23654762467014,2021.55932590504,0,6,-444181.447086775,888376.89417355,888450.496662765,416343.503095159,272289
"7","7_8",FALSE,"kokugo_level_between_grade7_8","kokugo_level ~ 1 + distance_cutoff + I(distance_cutoff^2) + upper_cutoff +      distance_cutoff * upper_cutoff + I(distance_cutoff^2) * upper_cutoff",0.0234532526773553,0.023434985877992,1.18440705844874,1283.92786338133,0,6,-424528.847730703,849071.695461406,849145.168533033,374975.210231663,267301
"8","6_7",FALSE,"kokugo_level_between_grade6_7","kokugo_level ~ 1 + distance_cutoff + I(distance_cutoff^2) + upper_cutoff +      distance_cutoff * upper_cutoff + I(distance_cutoff^2) * upper_cutoff",0.0345930908579782,0.0345752686631143,1.30105855336645,1941.01181825288,0,6,-455598.318495529,911210.636991059,911284.202234146,458472.090843001,270844
"9","5_6",FALSE,"kokugo_level_between_grade5_6","kokugo_level ~ 1 + distance_cutoff + I(distance_cutoff^2) + upper_cutoff +      distance_cutoff * upper_cutoff + I(distance_cutoff^2) * upper_cutoff",0.038801860974251,0.0387843383848145,1.44776528987088,2214.39080763069,0,6,-490672.872352547,981359.744705095,981433.398038425,574884.978335714,274274
"10","4_5",FALSE,"kokugo_level_between_grade4_5","kokugo_level ~ 1 + distance_cutoff + I(distance_cutoff^2) + upper_cutoff +      distance_cutoff * upper_cutoff + I(distance_cutoff^2) * upper_cutoff",0.0469066961221137,0.0468891345741977,1.62495221111236,2670.9887047817,0,6,-516787.198475082,1033588.39695016,1033661.97546477,716512.573704562,271358
