"","term","statistic","bias","std.error","X2.5.","X97.5.","fm_use","fm_delta","name"
"1","res.tau1.delta",0.2760121768192,0.000768811493177868,0.0071368245311499,0.262620520360549,0.290619106123026,"zgakuryoku ~ relative_age + I(relative_age^2)","11 * relative_age  +  11 **2 * `I(relative_age^2)`","rqboot_zgakuryoku_prime"
"2","res.tau2.delta",0.281455101912526,-0.00102227477138506,0.00410923075119645,0.273121204254887,0.288801074825951,"zgakuryoku ~ relative_age + I(relative_age^2)","11 * relative_age  +  11 **2 * `I(relative_age^2)`","rqboot_zgakuryoku_prime"
"3","res.tau3.delta",0.329943132449569,0.00231597400041289,0.00683685447507789,0.320001995105863,0.347606330363998,"zgakuryoku ~ relative_age + I(relative_age^2)","11 * relative_age  +  11 **2 * `I(relative_age^2)`","rqboot_zgakuryoku_prime"
"4","tau1-tau2",-0.005442925093326,0.00179108626456296,0.00694021600378768,-0.016167121944134,0.00988908863074945,"zgakuryoku ~ relative_age + I(relative_age^2)","11 * relative_age  +  11 **2 * `I(relative_age^2)`","rqboot_zgakuryoku_prime"
"5","tau2-tau3",-0.0484880305370439,-0.00333824877179798,0.00679176257254478,-0.0662498455827245,-0.0393605104328479,"zgakuryoku ~ relative_age + I(relative_age^2)","11 * relative_age  +  11 **2 * `I(relative_age^2)`","rqboot_zgakuryoku_prime"
"6","tau1-tau3",-0.0539309556303699,-0.00154716250723502,0.00892873155089683,-0.0724766299932501,-0.0388644162852812,"zgakuryoku ~ relative_age + I(relative_age^2)","11 * relative_age  +  11 **2 * `I(relative_age^2)`","rqboot_zgakuryoku_prime"
"7","res.tau1.delta",0.283884849790884,-0.000461790564476705,0.00722127304170121,0.270147149496494,0.29679097315462,"zkokugo_level ~ relative_age + I(relative_age^2)","11 * relative_age  +  11 **2 * `I(relative_age^2)`","rqboot_zkokugo_level_prime"
"8","res.tau2.delta",0.296830672060296,0.00308038352069478,0.0056462722122606,0.291302748655786,0.312921399832652,"zkokugo_level ~ relative_age + I(relative_age^2)","11 * relative_age  +  11 **2 * `I(relative_age^2)`","rqboot_zkokugo_level_prime"
"9","res.tau3.delta",0.323743509852761,0.00476538172576568,0.0105939467982549,0.320369238751259,0.362458706593311,"zkokugo_level ~ relative_age + I(relative_age^2)","11 * relative_age  +  11 **2 * `I(relative_age^2)`","rqboot_zkokugo_level_prime"
"10","tau1-tau2",-0.0129458222694116,-0.00354217408517145,0.0079138278868918,-0.0328778591379187,-0.00193399536648691,"zkokugo_level ~ relative_age + I(relative_age^2)","11 * relative_age  +  11 **2 * `I(relative_age^2)`","rqboot_zkokugo_level_prime"
"11","tau2-tau3",-0.0269128377924654,-0.00168499820507094,0.0107772327932838,-0.0597620973148094,-0.013119253311436,"zkokugo_level ~ relative_age + I(relative_age^2)","11 * relative_age  +  11 **2 * `I(relative_age^2)`","rqboot_zkokugo_level_prime"
"12","tau1-tau3",-0.039858660061877,-0.00522717229024239,0.0125803131782703,-0.0782766643423065,-0.024517905454412,"zkokugo_level ~ relative_age + I(relative_age^2)","11 * relative_age  +  11 **2 * `I(relative_age^2)`","rqboot_zkokugo_level_prime"
