"","term","estimate","std.error","statistic","p.value","conf.low","conf.high","tau","name","fm_use","fm_delta"
"1","(Intercept)",-1.24960551680735,0.00542151366525157,-230.49015348177,0,-1.26023151201182,-1.23897952160288,0.1,"rq_zgakuryoku_prime_0.1",NA,NA
"2","relative_age",0.0366738185729261,0.00226144982363747,16.2169499360978,0,0.0322414484886927,0.0411061886571594,0.1,"rq_zgakuryoku_prime_0.1",NA,NA
"3","I(relative_age^2)",-0.00105289113613229,0.000197599415641909,-5.32841219551147,9.91143931372562e-08,-0.00144017973718754,-0.000665602535077043,0.1,"rq_zgakuryoku_prime_0.1",NA,NA
"4","(Intercept)",-0.18345008490328,0.00339313403247757,-54.0650864797494,0,-0.190100520221433,-0.176799649585128,0.5,"rq_zgakuryoku_prime_0.5",NA,NA
"5","relative_age",0.0370270195168855,0.00141536161911871,26.1608192681816,0,0.0342529555366097,0.0398010834971613,0.5,"rq_zgakuryoku_prime_0.5",NA,NA
"6","I(relative_age^2)",-0.00104001745641777,0.000123670499312692,-8.40958403336078,0,-0.00128240772116133,-0.000797627191674202,0.5,"rq_zgakuryoku_prime_0.5",NA,NA
"7","(Intercept)",0.866460241403205,0.00502386703452339,172.468784593421,0,0.856613621010287,0.876306861796122,0.9,"rq_zgakuryoku_prime_0.9",NA,NA
"8","relative_age",0.0375213057555969,0.00209558140414164,17.9049621653642,0,0.0334140325241912,0.0416285789870025,0.9,"rq_zgakuryoku_prime_0.9",NA,NA
"9","I(relative_age^2)",-0.000684225048452078,0.00018310627835306,-3.73676454246301,0.000186422394756969,-0.00104310755909827,-0.000325342537805883,0.9,"rq_zgakuryoku_prime_0.9",NA,NA
"10","(Intercept)",-1.39820236854994,0.00608426531918056,-229.806278194694,0,-1.41012733601942,-1.38627740108046,0.1,"rq_zkokugo_level_prime_0.1",NA,NA
"11","relative_age",0.0404364930936787,0.00253788099766671,15.9331714650354,0,0.0354623266576458,0.0454106595297117,0.1,"rq_zkokugo_level_prime_0.1",NA,NA
"12","I(relative_age^2)",-0.0013298890432776,0.000221752344642196,-5.99718142968643,2.00897831703628e-09,-0.00176451662071127,-0.000895261465843932,0.1,"rq_zkokugo_level_prime_0.1",NA,NA
"13","(Intercept)",-0.192028946814275,0.00418880724844533,-45.8433476225354,0,-0.200238876452972,-0.183819017175579,0.5,"rq_zkokugo_level_prime_0.5",NA,NA
"14","relative_age",0.0419296139512415,0.00174724371161212,23.997576109491,0,0.0385050715736197,0.0453541563288633,0.5,"rq_zkokugo_level_prime_0.5",NA,NA
"15","I(relative_age^2)",-0.0013586370363688,0.000152668856446595,-8.89924158725893,0,-0.00165786316330792,-0.00105941090942969,0.5,"rq_zkokugo_level_prime_0.5",NA,NA
"16","(Intercept)",0.951724771312261,0.00342430154306446,277.932524149304,0,0.945013248660873,0.958436293963649,0.9,"rq_zkokugo_level_prime_0.9",NA,NA
"17","relative_age",0.0675426448615199,0.0014283515528206,47.2871295082376,0,0.0647431210227631,0.0703421687002767,0.9,"rq_zkokugo_level_prime_0.9",NA,NA
"18","I(relative_age^2)",-0.00346467424482394,0.000124805026753617,-27.7606947007327,0,-0.00370928814740518,-0.00322006034224269,0.9,"rq_zkokugo_level_prime_0.9",NA,NA
"19","(Intercept)",-1.2592595215124,0.00552999239094786,-227.714512514286,0,-1.27009813158287,-1.24842091144194,0.1,"rq_zmath_level_prime_0.1",NA,NA
"20","relative_age",0.0354263242088479,0.00230669638775042,15.3580351523406,0,0.0309052722922649,0.0399473761254309,0.1,"rq_zmath_level_prime_0.1",NA,NA
"21","I(relative_age^2)",-0.000956851570279082,0.00020155279341374,-4.74739920034197,2.06101397215441e-06,-0.00135188866653279,-0.000561814474025373,0.1,"rq_zmath_level_prime_0.1",NA,NA
"22","(Intercept)",-0.193192679195319,0.00417078684277195,-46.3204393986534,0,-0.201367289408136,-0.185018068982502,0.5,"rq_zmath_level_prime_0.5",NA,NA
"23","relative_age",0.0342314683643366,0.00173973818843718,19.6762182906883,0,0.0308216365750488,0.0376413001536243,0.5,"rq_zmath_level_prime_0.5",NA,NA
"24","I(relative_age^2)",-0.000978164563152337,0.000152013543503244,-6.43471983225929,1.2380363401121e-10,-0.00127610629742286,-0.000680222828881813,0.5,"rq_zmath_level_prime_0.5",NA,NA
"25","(Intercept)",0.868193369971506,0.00787699863166289,110.218804213277,0,0.852754701948389,0.883632037994622,0.9,"rq_zmath_level_prime_0.9",NA,NA
"26","relative_age",0.0408908763480494,0.00328569064936044,12.4451388495776,0,0.0344510266623798,0.0473307260337191,0.9,"rq_zmath_level_prime_0.9",NA,NA
"27","I(relative_age^2)",-0.000804813683175412,0.000287094622503765,-2.80330462534128,0.00505836609916699,-0.00136751005717769,-0.000242117309173134,0.9,"rq_zmath_level_prime_0.9",NA,NA
"28","(Intercept)",-1.40359664076222,0.0093283486821494,-150.465713556368,0,-1.42187992732894,-1.3853133541955,0.1,"rq_zstrategy_prime_0.1",NA,NA
"29","relative_age",0.0233877039007207,0.00387918478530482,6.02902547703278,1.65104818705686e-09,0.0157846168494514,0.03099079095199,0.1,"rq_zstrategy_prime_0.1",NA,NA
"30","I(relative_age^2)",-0.000786398964596405,0.000338269682196237,-2.32476927725435,0.0200848326074889,-0.00144939750240416,-0.000123400426788648,0.1,"rq_zstrategy_prime_0.1",NA,NA
"31","(Intercept)",-0.0038676610839724,0.00579639895757893,-0.667252394508723,0.504611340278662,-0.0152284310130843,0.00749310884513947,0.5,"rq_zstrategy_prime_0.5",NA,NA
"32","relative_age",0.0184605076595507,0.00241042690533476,7.65860504572611,1.88737914186277e-14,0.0137361424626652,0.0231848728564362,0.5,"rq_zstrategy_prime_0.5",NA,NA
"33","I(relative_age^2)",-0.000500964805456973,0.000210192189429505,-2.38336546575146,0.0171556492638294,-0.0009129352585747,-8.89943523392462e-05,0.5,"rq_zstrategy_prime_0.5",NA,NA
"34","(Intercept)",1.20483517011168,0.00409652600203578,294.111442112885,0,1.19680610072595,1.2128642394974,0.9,"rq_zstrategy_prime_0.9",NA,NA
"35","relative_age",0.000605815213445731,0.00170353637939285,0.355622116894062,0.72212377854652,-0.00273306553196073,0.00394469595885219,0.9,"rq_zstrategy_prime_0.9",NA,NA
"36","I(relative_age^2)",0.000549532274258336,0.000148550466543878,3.69929685879523,0.000216228508277627,0.000258377768569835,0.000840686779946836,0.9,"rq_zstrategy_prime_0.9",NA,NA
"37","(Intercept)",-1.45136719745905,0.0144633723368024,-100.347772543061,0,-1.47971513964042,-1.42301925527768,0.1,"rq_zselfcontrol_prime_0.1",NA,NA
"38","relative_age",-0.00126894512676601,0.00602747041798326,-0.21052697711797,0.833256715400522,-0.0130826756268174,0.0105447853732854,0.1,"rq_zselfcontrol_prime_0.1",NA,NA
"39","I(relative_age^2)",0.00126894524282899,0.000525551868322941,2.4145004885593,0.0157581182851398,0.000238873304584104,0.00229901718107388,0.1,"rq_zselfcontrol_prime_0.1",NA,NA
"40","(Intercept)",0.119476674488684,0.00695263798083951,17.1843658217132,0,0.105849632682721,0.133103716294646,0.5,"rq_zselfcontrol_prime_0.5",NA,NA
"41","relative_age",0.0144898263059732,0.0028974445779719,5.00089852145353,5.71348397926386e-07,0.00881088854115742,0.0201687640707891,0.5,"rq_zselfcontrol_prime_0.5",NA,NA
"42","I(relative_age^2)",-0.000645748326156985,0.000252636231406808,-2.55604005237541,0.0105881745187402,-0.00114091066548328,-0.000150585986830685,0.5,"rq_zselfcontrol_prime_0.5",NA,NA
"43","(Intercept)",1.16389022645196,0.000695260588506167,1674.03452129033,0,1.16252752856207,1.16525292434184,0.9,"rq_zselfcontrol_prime_0.9",NA,NA
"44","relative_age",0.00444271853239667,0.000289743120236717,15.3333011971674,0,0.00387482737750887,0.00501060968728447,0.9,"rq_zselfcontrol_prime_0.9",NA,NA
"45","I(relative_age^2)",-0.000261336384258424,2.52635065150722e-05,-10.3444224618032,0,-0.000310852389607019,-0.000211820378909829,0.9,"rq_zselfcontrol_prime_0.9",NA,NA
"46","(Intercept)",-1.3839154699732,0.0208714162803905,-66.3067350764041,0,-1.42482325061235,-1.34300768933405,0.1,"rq_zselfefficacy_prime_0.1",NA,NA
"47","relative_age",0.00761276928909823,0.00875297274297013,0.869735290243232,0.384447427774923,-0.00954297539538303,0.0247685139735795,0.1,"rq_zselfefficacy_prime_0.1",NA,NA
"48","I(relative_age^2)",0.00057395685426294,0.000767764043340306,0.747569333627334,0.454721943202287,-0.000930853487577768,0.00207876719610365,0.1,"rq_zselfefficacy_prime_0.1",NA,NA
"49","(Intercept)",-0.0707061052059313,0.00891252038258812,-7.93334569467754,2.22044604925031e-15,-0.0881745617713556,-0.053237648640507,0.5,"rq_zselfefficacy_prime_0.5",NA,NA
"50","relative_age",0.0301747283427049,0.00373769786065039,8.07307852792955,6.66133814775094e-16,0.0228488755052732,0.0375005811801366,0.5,"rq_zselfefficacy_prime_0.5",NA,NA
"51","I(relative_age^2)",-0.00135144046931253,0.00032785090352099,-4.12211909376668,3.75742778282451e-05,-0.0019940251728808,-0.000708855765744262,0.5,"rq_zselfefficacy_prime_0.5",NA,NA
"52","(Intercept)",1.23431653341812,0.00705175677121375,175.03674239826,0,1.22049515612192,1.24813791071433,0.9,"rq_zselfefficacy_prime_0.9",NA,NA
"53","relative_age",-0.00494756526752489,0.00295733811157228,-1.67297924040701,0.0943348980055756,-0.0107439202977136,0.000848789762663856,0.9,"rq_zselfefficacy_prime_0.9",NA,NA
"54","I(relative_age^2)",0.00164918842251427,0.000259401912097656,6.35765715517707,2.05842454192862e-10,0.00114076310173537,0.00215761374329318,0.9,"rq_zselfefficacy_prime_0.9",NA,NA
"55","(Intercept)",-1.44185884117674,0.0229987159482592,-62.6930148805059,0,-1.48693670815359,-1.39678097419989,0.1,"rq_zdilligence_prime_0.1",NA,NA
"56","relative_age",0.0308636938933068,0.00955500904078728,3.23010619472567,0.00123833039181376,0.0121357167544,0.0495916710322136,0.1,"rq_zdilligence_prime_0.1",NA,NA
"57","I(relative_age^2)",-0.00181551140574151,0.000833503609624727,-2.17816861832059,0.0293986570722748,-0.00344919238705872,-0.000181830424424303,0.1,"rq_zdilligence_prime_0.1",NA,NA
"58","(Intercept)",0.115849944750078,0.0763127290722288,1.51809463714013,0.128997565407192,-0.0337242774585626,0.265424166958719,0.5,"rq_zdilligence_prime_0.5",NA,NA
"59","relative_age",1.00301514840549e-12,0.0317047620333556,3.1636103981801e-11,0.999999999974758,-0.0621418625572181,0.0621418625592242,0.5,"rq_zdilligence_prime_0.5",NA,NA
"60","I(relative_age^2)",-6.92066585765951e-14,0.00276567332215915,-2.50234393274494e-11,0.999999999980034,-0.00542076585491902,0.00542076585478061,0.5,"rq_zdilligence_prime_0.5",NA,NA
"61","(Intercept)",1.19426371963394,0.124321232314969,9.60627317953434,0,0.95059203007962,1.43793540918826,0.9,"rq_zdilligence_prime_0.9",NA,NA
"62","relative_age",-9.85179141639691e-13,0.0516502965384577,-1.90740268239534e-11,0.999999999984781,-0.101235442967169,0.101235442965199,0.9,"rq_zdilligence_prime_0.9",NA,NA
"63","I(relative_age^2)",9.53649530856872e-14,0.00450556440284068,2.11660392703656e-11,0.999999999983112,-0.00883098140181444,0.00883098140200517,0.9,"rq_zdilligence_prime_0.9",NA,NA
"64","(Intercept)",-1.25000154530568,0.00588593694955755,-212.370869076272,0,-1.26153779782584,-1.23846529278552,0.1,"rq_zgakuryoku_junior_0.1",NA,NA
"65","relative_age",0.029153394431484,0.00245637965794542,11.8684399364667,0,0.0243389670493549,0.0339678218136131,0.1,"rq_zgakuryoku_junior_0.1",NA,NA
"66","I(relative_age^2)",-0.00110079885532464,0.000214982630103172,-5.12040835483478,3.04988069022016e-07,-0.00152215809338173,-0.000679439617267538,0.1,"rq_zgakuryoku_junior_0.1",NA,NA
"67","(Intercept)",-0.134841297365979,0.00410623268831552,-32.8382017292093,0,-0.142889385139412,-0.126793209592546,0.5,"rq_zgakuryoku_junior_0.5",NA,NA
