"","term","estimate","std.error","statistic","p.value","name"
"1","is_apirl",-0.148497049603557,0.0405424219970726,-3.66275723769734,0.000249658178321065,"in_april_and_march_t35_basic_age_father"
"2","as.factor(year)2001",-0.162917719045647,0.092940596493568,-1.75292310564116,0.0796186174137884,"in_april_and_march_t35_basic_age_father"
"3","as.factor(year)2002",-0.0652987759863533,0.0961739938670836,-0.678965002499521,0.497161786224253,"in_april_and_march_t35_basic_age_father"
"4","as.factor(year)2003",0.0508468892228179,0.115076173850844,0.441854186851252,0.65859578778852,"in_april_and_march_t35_basic_age_father"
"5","as.factor(year)2004",0.30172284687684,0.0967106192749083,3.11985228860097,0.00180998992906009,"in_april_and_march_t35_basic_age_father"
"6","as.factor(year)2005",0.576489448791721,0.093120373839327,6.19079826490403,6.01180685390268e-10,"in_april_and_march_t35_basic_age_father"
"7","as.factor(year)2006",0.745353791854195,0.0806098359212093,9.24643727823399,2.36978479194452e-20,"in_april_and_march_t35_basic_age_father"
"8","as.factor(year)2007",0.83620418556854,0.11727435972475,7.13032403273114,1.00883772353699e-12,"in_april_and_march_t35_basic_age_father"
"9","as.factor(year)2008",0.995345767540574,0.0946615864839837,10.5147801184273,7.64528372593794e-26,"in_april_and_march_t35_basic_age_father"
"10","as.factor(year)2009",1.26948300585057,0.104853213822878,12.1072398219002,1.02728114421358e-33,"in_april_and_march_t35_basic_age_father"
"11","is_apirl",-0.125142687832485,0.0377304421280499,-3.31675646438954,0.000911043579043231,"in_april_and_march_t35_basic_age_mother"
"12","as.factor(year)2001",-0.0343683899606669,0.066677046600208,-0.515445595044693,0.60624292141464,"in_april_and_march_t35_basic_age_mother"
"13","as.factor(year)2002",0.159834809186913,0.0704593799058892,2.26846744039474,0.0233030471037771,"in_april_and_march_t35_basic_age_mother"
"14","as.factor(year)2003",0.288902268455475,0.0866583914275627,3.33380603651023,0.000857003088166504,"in_april_and_march_t35_basic_age_mother"
"15","as.factor(year)2004",0.548780841719171,0.0669951917916923,8.1913466779152,2.61605149353998e-16,"in_april_and_march_t35_basic_age_mother"
"16","as.factor(year)2005",0.740824937098171,0.0659999134909863,11.2246349716708,3.22526555978107e-29,"in_april_and_march_t35_basic_age_mother"
"17","as.factor(year)2006",0.954555083175105,0.0639139036037269,14.9350145954697,2.2360567439135e-50,"in_april_and_march_t35_basic_age_mother"
"18","as.factor(year)2007",1.01378954204907,0.0801959052959945,12.6414127792097,1.33900797425361e-36,"in_april_and_march_t35_basic_age_mother"
"19","as.factor(year)2008",1.14251699779133,0.0825432145446761,13.841440560483,1.5854130312359e-43,"in_april_and_march_t35_basic_age_mother"
"20","as.factor(year)2009",1.50668800931142,0.0956217451283652,15.7567508027468,7.31060202939947e-56,"in_april_and_march_t35_basic_age_mother"
"21","is_apirl",-0.0930171094890702,0.111299602778217,-0.835736221578635,0.403305492258741,"in_april_and_march_t35_basic_I(no_legitimate*100)"
"22","as.factor(year)2001",0.00290544310821618,0.243907832257467,0.0119120533413179,0.990495807252633,"in_april_and_march_t35_basic_I(no_legitimate*100)"
"23","as.factor(year)2002",0.192878448750575,0.262410017708772,0.735027002530961,0.462324930141267,"in_april_and_march_t35_basic_I(no_legitimate*100)"
"24","as.factor(year)2003",0.291205690297873,0.267333825009391,1.08929608996409,0.276026200932738,"in_april_and_march_t35_basic_I(no_legitimate*100)"
"25","as.factor(year)2004",0.250852779219537,0.230541055798757,1.08810458228538,0.276551802698132,"in_april_and_march_t35_basic_I(no_legitimate*100)"
"26","as.factor(year)2005",0.420135760151513,0.265694692416863,1.58127268681882,0.11381915302802,"in_april_and_march_t35_basic_I(no_legitimate*100)"
"27","as.factor(year)2006",0.217328912402152,0.267104146334044,0.813648591326463,0.41584840670583,"in_april_and_march_t35_basic_I(no_legitimate*100)"
"28","as.factor(year)2007",0.519960204550605,0.236903146872327,2.19482185616903,0.0281788786089423,"in_april_and_march_t35_basic_I(no_legitimate*100)"
"29","as.factor(year)2008",0.713245755968624,0.251343049824389,2.83773812909074,0.00454444172559051,"in_april_and_march_t35_basic_I(no_legitimate*100)"
"30","as.factor(year)2009",0.329852444306529,0.31052627417202,1.06223682741836,0.288130984248495,"in_april_and_march_t35_basic_I(no_legitimate*100)"
"31","is_apirl",-0.213733632227001,3.18650536865841,-0.0670746185866267,0.946522446265056,"in_april_and_march_t35_basic_gram"
"32","as.factor(year)2001",-8.34093029795144,6.06299262134973,-1.3757117679115,0.168914252329401,"in_april_and_march_t35_basic_gram"
"33","as.factor(year)2002",-13.0154097406443,7.6826837656902,-1.69412280104113,0.0902453513981348,"in_april_and_march_t35_basic_gram"
"34","as.factor(year)2003",-13.6693657395861,7.92628397310708,-1.7245616970026,0.0846098661412036,"in_april_and_march_t35_basic_gram"
"35","as.factor(year)2004",-27.0356404533888,7.61261583068532,-3.55142582453881,0.000383342186317527,"in_april_and_march_t35_basic_gram"
"36","as.factor(year)2005",-20.9450518850886,7.50332824416814,-2.79143484111439,0.00524857879577402,"in_april_and_march_t35_basic_gram"
