"","term","estimate","std.error","statistic","p.value","name","is_adopt","tag_adopt","p_value_adjust","p_value_adjust_num"
"1","(Intercept)",-0.199934551975146,0.00908572054755627,-22.0053600513743,3.55210666953084e-107,"grade4_all_grade_t8_ra_basic_zgakuryoku",FALSE,NA,NA,NA
"2","relative_age",0.0445117962949932,0.00236611171116918,18.8122124939732,7.14916031408678e-79,"grade4_all_grade_t8_ra_basic_zgakuryoku",FALSE,NA,NA,NA
"3","I(relative_age^2)",-0.00113463206386028,0.000209386446158921,-5.41884197699745,6.00633829220146e-08,"grade4_all_grade_t8_ra_basic_zgakuryoku",FALSE,NA,NA,NA
"4","(Intercept)",-0.176174985066433,0.00894422092897723,-19.6970743975774,2.8127451049996e-86,"grade5_all_grade_t8_ra_basic_zgakuryoku",FALSE,NA,NA,NA
"5","relative_age",0.0396606869623368,0.00217021122038568,18.2750354388493,1.52630887463875e-74,"grade5_all_grade_t8_ra_basic_zgakuryoku",FALSE,NA,NA,NA
"6","I(relative_age^2)",-0.00105899034309496,0.000197677544731617,-5.35716054412115,8.46425171953175e-08,"grade5_all_grade_t8_ra_basic_zgakuryoku",FALSE,NA,NA,NA
"7","(Intercept)",-0.150823720254264,0.00859891028517912,-17.5398643842371,8.09980274791244e-69,"grade6_all_grade_t8_ra_basic_zgakuryoku",FALSE,NA,NA,NA
"8","relative_age",0.034437076308592,0.00215234883296632,15.9997653638382,1.40393515688019e-57,"grade6_all_grade_t8_ra_basic_zgakuryoku",FALSE,NA,NA,NA
"9","I(relative_age^2)",-0.000969396206837643,0.00018888710720832,-5.13214597420094,2.8674998814188e-07,"grade6_all_grade_t8_ra_basic_zgakuryoku",FALSE,NA,NA,NA
"10","(Intercept)",-0.136847215838907,0.0103082206614465,-13.2755419517479,3.35389813826272e-40,"grade7_all_grade_t8_ra_basic_zgakuryoku",FALSE,NA,NA,NA
"11","relative_age",0.0315259592047675,0.00228149947603133,13.8180874183706,2.08775859866206e-43,"grade7_all_grade_t8_ra_basic_zgakuryoku",FALSE,NA,NA,NA
"12","I(relative_age^2)",-0.000911276638028335,0.000196507523041645,-4.63736260028687,3.53132979925505e-06,"grade7_all_grade_t8_ra_basic_zgakuryoku",FALSE,NA,NA,NA
"13","(Intercept)",-0.119778751030009,0.0109063521561161,-10.9824760208975,4.73577325054916e-28,"grade8_all_grade_t8_ra_basic_zgakuryoku",FALSE,NA,NA,NA
"14","relative_age",0.0309181830449427,0.00230654399269036,13.4045494657484,5.94824382642969e-41,"grade8_all_grade_t8_ra_basic_zgakuryoku",FALSE,NA,NA,NA
"15","I(relative_age^2)",-0.00122381748200737,0.000199637691132395,-6.1301925255976,8.79527586794254e-10,"grade8_all_grade_t8_ra_basic_zgakuryoku",FALSE,NA,NA,NA
